Produce_Type,Temperature_C,Humidity_Percent,Days_Since_Harvest,Remaining_Shelf_Life_Days
Cauliflower,9,92,20,1
Potato,16,44,8,50
Spinach,2,97,15,1
Spinach,3,91,10,4
Cucumber,19,80,7,1
Spinach,4,93,19,1
Tomato,27,56,2,7
Cabbage,9,87,15,30
Carrot,3,91,1,28
Cucumber,19,81,20,1
Onion,25,55,5,13
Onion,29,57,7,21
Spinach,3,97,14,1
Capsicum,10,68,7,6
Cucumber,10,88,6,1
Tomato,23,50,17,1
Potato,12,54,15,36
Brinjal,17,63,8,5
Tomato,16,60,18,1
Cucumber,15,95,14,1
Carrot,3,93,7,48
Cabbage,8,94,19,1
Brinjal,17,79,11,2
Cucumber,15,93,8,3
Cabbage,3,87,3,16
Tomato,27,63,5,1
Cucumber,16,93,15,1
Onion,15,63,7,33
Cucumber,10,84,2,9
Brinjal,24,62,11,1
Tomato,25,77,5,1
Tomato,15,75,18,1
Carrot,6,91,16,33
Brinjal,25,68,19,1
Capsicum,14,73,11,7
Brinjal,24,74,6,1
Cauliflower,0,91,16,3
Brinjal,24,70,3,6
Brinjal,20,72,4,6
Cauliflower,2,91,10,13
Cucumber,12,85,17,1
Cauliflower,8,85,17,10
Spinach,0,90,13,1
Cucumber,14,83,15,1
Capsicum,18,66,16,2
Cabbage,2,92,11,36
Spinach,2,97,2,11
Brinjal,21,77,1,12
Tomato,23,50,6,1
Tomato,28,75,5,2
Carrot,8,89,10,10
Tomato,30,71,5,1
Potato,13,55,2,47
Capsicum,18,75,9,3
Cabbage,1,90,5,22
Carrot,2,86,10,45
Carrot,7,95,13,44
Brinjal,10,61,1,11
Cucumber,14,90,6,5
Potato,15,56,16,39
Capsicum,20,84,9,2
Brinjal,17,62,2,5
Cabbage,1,85,16,27
Onion,20,47,5,24
Onion,24,46,10,10
Cabbage,6,89,14,30
Capsicum,7,80,9,11
Tomato,25,76,15,1
Spinach,2,92,12,2
Tomato,26,56,18,1
Cabbage,3,88,11,38
Carrot,2,93,16,15
Cauliflower,0,87,19,10
Carrot,9,94,20,15
Onion,28,45,11,24
Cauliflower,0,95,3,8
Spinach,2,99,5,9
Cauliflower,3,93,4,22
Cabbage,5,90,19,1
Potato,10,41,14,37
Potato,17,43,11,15
Brinjal,22,70,5,5
Potato,20,70,16,1
Cucumber,10,93,10,1
Onion,20,70,19,2
Carrot,1,94,3,51
Brinjal,24,61,9,2
Carrot,2,89,7,26
Cucumber,14,83,2,9
Brinjal,13,71,7,1
Carrot,5,92,17,13
Cucumber,11,83,16,1
Cabbage,1,92,12,29
Onion,23,62,17,13
Tomato,19,77,14,1
Cabbage,9,93,17,16
Onion,15,44,11,26
Cucumber,10,84,11,2
Carrot,1,92,11,24
Onion,29,62,17,9
Brinjal,17,80,14,1
Brinjal,14,64,7,1
Onion,25,54,2,37
Onion,15,70,17,3
Cauliflower,7,95,7,17
Carrot,9,95,5,40
Carrot,7,88,18,30
Tomato,17,75,1,6
Cucumber,13,83,6,9
Onion,20,44,15,1
Carrot,9,88,19,6
Cucumber,12,93,3,9
Tomato,28,52,5,3
Spinach,1,100,4,6
Cucumber,11,94,5,6
Cabbage,1,86,11,31
Capsicum,7,83,7,9
Spinach,4,99,2,8
Capsicum,12,79,12,8
Potato,16,56,17,2
Cauliflower,5,91,13,12
Tomato,19,58,11,1
Potato,19,46,19,20
Cauliflower,8,92,8,9
Cucumber,17,86,4,1
Brinjal,16,63,12,1
Potato,17,70,14,16
Brinjal,17,79,6,1
Tomato,26,62,2,8
Brinjal,23,78,2,12
Capsicum,13,75,10,1
Spinach,1,91,8,1
Tomato,17,80,13,1
Carrot,0,95,20,24
Spinach,3,97,10,1
Cucumber,13,90,20,1
Brinjal,25,80,9,5
Spinach,4,91,7,5
Cabbage,2,85,6,15
Cucumber,15,91,5,4
Carrot,1,94,15,16
Cucumber,20,82,6,2
Potato,19,43,15,29
Onion,29,64,15,13
Cucumber,13,91,7,8
Tomato,19,77,6,2
Cauliflower,7,86,6,7
Potato,17,56,13,36
Cabbage,8,95,12,17
Cauliflower,6,92,14,8
Cucumber,15,86,20,1
Potato,10,65,12,46
Potato,16,45,14,5
Carrot,3,88,17,21
Cabbage,8,86,13,2
Potato,11,60,6,20
Carrot,8,89,17,18
Onion,20,70,20,10
Tomato,26,76,16,1
Onion,29,60,5,7
Potato,12,51,9,34
Tomato,28,66,6,1
Cabbage,2,92,3,28
Cabbage,5,93,2,27
Cauliflower,1,94,7,5
Capsicum,9,67,7,1
Cabbage,0,91,15,20
Brinjal,11,62,15,1
Cauliflower,0,90,8,14
Brinjal,13,75,10,1
Cabbage,5,85,12,30
Cucumber,11,86,5,4
Tomato,25,57,2,6
Spinach,0,94,14,1
Potato,19,69,10,43
Onion,28,54,10,29
Cucumber,18,93,13,1
Cabbage,1,94,15,28
Cauliflower,4,91,14,13
Potato,12,53,3,51
Cucumber,14,84,4,9
Cabbage,1,86,12,28
Carrot,2,92,11,32
Carrot,5,86,6,28
Cauliflower,10,95,18,10
Spinach,5,98,11,3
Spinach,4,90,15,1
Cauliflower,2,92,18,8
Spinach,2,95,2,9
Cabbage,2,86,19,25
Spinach,5,98,17,1
Cauliflower,2,90,10,11
Spinach,5,92,4,3
Cucumber,15,85,16,1
Spinach,2,93,15,1
Cabbage,5,86,10,35
Onion,19,58,13,6
Cucumber,19,81,16,1
Spinach,3,96,10,1
Tomato,25,77,5,4
Potato,15,42,14,18
Carrot,4,87,11,48
Brinjal,24,72,2,13
Cauliflower,9,93,3,18
Potato,10,44,6,21
Brinjal,25,71,20,1
Brinjal,14,79,5,5
Brinjal,11,72,3,11
Carrot,6,89,10,45
Carrot,9,85,12,18
Tomato,20,52,4,4
Spinach,2,92,17,1
Carrot,8,89,19,7
Brinjal,23,67,1,12
Cauliflower,4,91,5,9
Cucumber,16,92,18,1
Onion,27,60,12,1
Cauliflower,2,95,16,1
Cucumber,14,84,9,4
Cauliflower,0,88,3,13
Cucumber,18,88,8,2
Spinach,1,98,10,1
Potato,14,47,14,12
Potato,12,42,10,7
Cabbage,3,89,2,15
Spinach,5,90,4,4
Capsicum,13,74,1,10
Spinach,5,92,4,6
Tomato,18,68,2,2
Potato,10,67,12,26
Carrot,2,95,8,27
Capsicum,17,73,11,3
Cauliflower,6,93,5,13
Onion,28,52,11,5
Cauliflower,7,86,4,22
Potato,12,54,20,35
Cauliflower,6,88,4,7
Cucumber,13,87,6,1
Onion,15,64,4,34
Tomato,28,66,14,1
Tomato,30,59,8,1
Carrot,10,86,1,28
Brinjal,16,64,3,12
Cucumber,13,82,2,4
Brinjal,25,61,6,3
Spinach,5,96,4,7
Brinjal,22,71,18,1
Spinach,2,90,15,1
Cabbage,6,92,18,1
Onion,17,57,10,9
Tomato,28,50,14,1
Potato,20,70,12,15
Carrot,1,92,6,23
Onion,24,60,6,30
Spinach,1,91,18,1
Tomato,27,58,1,9
Cabbage,2,87,2,40
Brinjal,10,60,10,1
Brinjal,18,76,7,1
Brinjal,14,60,13,2
Brinjal,12,68,3,3
Cucumber,17,82,7,4
Onion,16,44,10,14
Brinjal,23,60,1,10
Brinjal,12,60,1,5
Potato,12,69,8,24
Onion,28,70,1,11
Cabbage,2,88,19,13
Onion,15,61,15,2
Spinach,5,99,14,1
Cauliflower,1,85,16,10
Spinach,0,100,6,7
Cabbage,8,89,15,31
Spinach,0,90,12,1
Brinjal,14,70,8,1
Brinjal,15,80,14,1
Cucumber,19,93,10,2
Capsicum,18,69,18,1
Cauliflower,5,90,20,1
Tomato,19,78,19,1
Potato,20,57,7,16
Capsicum,15,82,8,1
Tomato,22,56,10,1
Brinjal,22,69,15,1
Cauliflower,0,92,19,11
Spinach,5,97,14,1
Brinjal,11,60,2,9
Spinach,3,94,18,1
Tomato,23,64,19,1
Potato,17,49,1,33
Brinjal,25,62,1,6
Onion,24,67,13,9
Tomato,23,77,4,4
Brinjal,13,67,9,1
Spinach,3,92,1,12
Cabbage,3,93,8,23
Onion,24,50,8,8
Capsicum,14,85,13,1
Cucumber,16,92,8,2
Capsicum,13,70,4,7
Onion,26,54,8,32
Brinjal,20,62,10,3
Carrot,2,88,12,48
Spinach,0,97,19,1
Capsicum,14,75,9,1
Cauliflower,7,91,1,9
Potato,10,70,14,19
Brinjal,19,76,6,1
Cucumber,15,92,1,5
Spinach,5,93,19,1
Capsicum,18,65,6,10
Cauliflower,2,90,10,14
Potato,19,57,19,1
Onion,22,47,10,18
Potato,16,63,18,5
Brinjal,15,68,2,13
Onion,24,46,8,32
Tomato,23,57,19,1
Cauliflower,3,91,13,10
Potato,19,55,10,23
Potato,15,65,4,14
Cauliflower,9,93,18,12
Carrot,2,95,3,28
Cucumber,18,89,6,2
Cabbage,9,88,16,18
Capsicum,17,84,7,6
Cucumber,16,82,13,1
Spinach,0,91,16,1
Brinjal,25,66,9,1
Tomato,29,53,16,1
Spinach,1,96,18,1
Spinach,3,93,2,9
Cauliflower,2,85,3,7
Onion,30,48,18,3
Cucumber,17,86,14,1
Cucumber,17,82,15,1
Potato,13,68,11,29
Onion,26,58,20,8
Capsicum,9,79,10,4
Potato,18,48,9,45
Cabbage,4,95,16,10
Capsicum,13,71,10,10
Spinach,5,98,12,1
Capsicum,12,66,2,9
Brinjal,24,66,9,3
Spinach,3,99,5,10
Brinjal,16,80,13,1
Capsicum,15,81,1,12
Capsicum,18,75,19,1
Cabbage,4,95,8,39
Cucumber,12,84,5,9
Potato,17,49,18,42
Tomato,15,57,2,1
Potato,18,70,16,40
Cabbage,3,89,8,21
Cauliflower,9,91,8,7
Tomato,23,60,9,1
Cabbage,10,90,1,47
Onion,20,52,20,7
Cucumber,13,85,6,8
Tomato,20,50,2,3
Capsicum,15,69,19,1
Cucumber,11,88,2,9
Onion,18,44,3,33
Potato,11,58,18,8
Brinjal,20,72,5,7
Cucumber,18,82,20,1
Cauliflower,4,87,14,1
Cauliflower,8,88,20,1
Capsicum,8,80,2,14
Tomato,30,63,14,1
Potato,14,61,3,17
Cucumber,19,88,1,10
Cabbage,0,90,18,21
Spinach,4,96,8,1
Potato,10,62,9,38
Onion,28,61,9,26
Tomato,17,68,18,1
Brinjal,19,71,18,1
Cauliflower,9,93,9,17
Spinach,1,90,15,1
Cabbage,8,93,4,13
Cabbage,10,88,2,24
Brinjal,14,69,1,9
Cabbage,5,90,19,15
Cauliflower,8,93,3,16
Onion,30,58,11,14
Cucumber,20,87,14,1
Cucumber,18,89,17,1
Capsicum,12,75,16,1
Brinjal,17,73,14,1
Potato,14,43,4,32
Brinjal,14,61,13,1
Cauliflower,4,86,13,1
Cabbage,1,87,9,37
Spinach,1,93,18,1
Capsicum,7,76,15,1
Carrot,10,92,7,37
Cauliflower,1,92,19,1
Capsicum,14,76,10,1
Cucumber,13,80,11,2
Cucumber,12,85,5,3
Capsicum,16,78,16,3
Carrot,4,95,18,42
Onion,27,48,5,19
Onion,18,53,8,20
Cucumber,14,87,11,1
Cucumber,15,82,13,1
Spinach,0,90,12,1
Brinjal,24,74,9,1
Cucumber,15,95,2,3
Potato,13,50,16,32
Cauliflower,9,94,11,19
Onion,27,70,20,3
Spinach,4,90,3,3
Capsicum,20,73,8,12
Tomato,23,71,4,1
Potato,10,44,10,40
Spinach,1,95,2,4
Tomato,21,80,14,1
Cucumber,12,93,19,1
Carrot,3,94,8,22
Cucumber,11,80,5,1
Cabbage,4,89,12,21
Spinach,2,93,4,5
Cucumber,13,93,19,1
Brinjal,24,71,16,1
Tomato,16,72,7,1
Cauliflower,10,91,19,4
Cauliflower,6,95,14,4
Carrot,2,95,9,36
Carrot,5,86,20,14
Cabbage,9,89,6,42
Potato,18,42,11,43
Brinjal,19,69,1,14
Onion,21,64,6,31
Onion,17,56,18,9
Onion,28,61,11,24
Cabbage,2,91,19,24
Potato,11,50,19,18
Brinjal,16,67,13,1
Onion,17,40,9,27
Spinach,4,100,10,1
Onion,19,52,2,15
Cabbage,3,94,10,13
Cauliflower,1,90,19,10
Potato,19,42,8,31
Tomato,16,58,14,1
Cauliflower,3,94,6,21
Cauliflower,9,92,13,14
Capsicum,12,82,1,11
Potato,19,50,17,21
Spinach,4,98,16,1
Tomato,24,54,12,1
Capsicum,19,82,13,1
Tomato,20,67,12,1
Carrot,10,89,1,40
Capsicum,13,80,17,1
Onion,27,47,14,1
Potato,17,46,3,40
Potato,12,50,19,1
Cabbage,7,90,4,44
Cucumber,10,84,14,1
Cabbage,4,95,6,19
Tomato,19,55,6,1
Cauliflower,2,92,15,10
Potato,19,50,6,51
Cucumber,18,88,5,6
Capsicum,9,80,2,6
Brinjal,22,60,1,8
Capsicum,11,69,2,15
Onion,24,41,3,36
Cucumber,10,95,6,4
Cucumber,17,81,4,11
Spinach,4,96,2,6
Brinjal,18,69,2,7
Cauliflower,5,89,16,2
Brinjal,20,73,4,5
Cabbage,1,93,15,3
Cauliflower,4,93,18,8
Brinjal,22,62,7,5
Spinach,3,93,16,1
Potato,19,44,1,55
Tomato,18,67,19,1
Cucumber,20,90,2,5
Cauliflower,9,88,18,1
Spinach,1,95,3,5
Cauliflower,10,87,20,7
Spinach,0,91,6,2
Onion,29,44,9,4
Potato,18,56,13,27
Potato,10,57,19,37
Carrot,0,92,11,47
Tomato,19,65,7,1
Carrot,6,87,12,29
Brinjal,10,73,8,5
Capsicum,10,76,16,1
Cucumber,10,93,17,1
Cucumber,10,95,3,3
Potato,17,44,9,28
Potato,16,47,19,23
Carrot,0,85,14,13
Onion,16,45,11,8
Spinach,5,94,15,1
Tomato,28,52,19,1
Carrot,8,88,19,30
Spinach,0,93,10,3
Potato,18,67,20,17
Potato,18,62,7,20
Potato,13,61,18,35
Carrot,2,86,11,9
Cabbage,7,93,5,31
Tomato,29,57,2,1
Cauliflower,10,87,18,11
Spinach,5,94,6,8
Tomato,20,78,4,4
Cucumber,19,87,7,6
Onion,25,57,16,8
Tomato,24,78,19,1
Potato,17,66,8,7
Cauliflower,4,91,2,23
Spinach,4,90,1,12
Cucumber,12,81,14,1
Cauliflower,4,87,20,1
Tomato,29,80,20,1
Potato,14,47,17,30
Cucumber,16,81,7,2
Cucumber,12,85,4,2
Cabbage,2,94,5,31
Cauliflower,3,86,18,1
Cabbage,0,94,15,6
Spinach,5,94,9,2
Cauliflower,1,87,1,22
Brinjal,14,66,13,1
Cabbage,10,91,11,35
Tomato,15,59,7,1
Tomato,29,77,9,1
Spinach,5,93,7,8
Tomato,20,61,19,1
Capsicum,12,78,19,1
Capsicum,9,66,4,6
Tomato,22,55,1,8
Onion,24,42,16,1
Brinjal,20,79,9,3
Cucumber,12,92,13,1
Tomato,19,75,18,1
Cabbage,3,86,4,26
Cabbage,3,88,4,38
Capsicum,13,73,3,13
Cauliflower,7,94,9,9
Onion,27,41,9,21
Tomato,30,63,20,1
Cabbage,2,90,6,12
Potato,12,56,18,42
Tomato,30,77,19,1
Potato,14,68,2,14
Cucumber,15,86,5,10
Capsicum,11,82,10,1
Cauliflower,8,91,7,11
Tomato,23,55,11,1
Potato,13,61,9,17
Onion,22,68,18,1
Cauliflower,3,95,18,1
Potato,20,61,20,7
Carrot,5,89,8,51
Potato,11,46,11,8
Cauliflower,7,85,19,1
Onion,18,65,7,29
Capsicum,8,71,19,1
Onion,23,55,16,19
Cucumber,10,87,1,12
Cabbage,4,91,13,26
Capsicum,15,72,19,1
Capsicum,13,78,16,4
Carrot,7,88,15,6
Potato,15,69,15,11
Onion,16,66,14,25
Carrot,2,94,19,37
Cucumber,12,93,5,7
Capsicum,9,81,7,10
Cucumber,13,81,7,2
Spinach,4,98,17,1
Tomato,25,77,6,2
Cabbage,1,89,6,31
Cabbage,1,95,19,24
Carrot,6,89,4,38
Cucumber,18,84,8,4
Capsicum,13,74,11,1
Carrot,7,95,6,50
Cucumber,11,85,3,2
Potato,11,40,20,33
Spinach,2,96,5,2
Brinjal,18,73,1,5
Potato,17,65,7,31
Onion,15,58,3,37
Brinjal,10,76,2,13
Potato,18,60,3,15
Capsicum,18,69,6,1
Cauliflower,2,87,8,11
Cauliflower,6,88,15,14
Brinjal,11,74,18,1
Cabbage,10,89,20,11
Cauliflower,10,95,1,19
Potato,15,57,9,13
Cucumber,13,95,19,1
Cauliflower,4,90,18,1
Onion,28,42,4,34
Cauliflower,7,89,2,25
Potato,19,47,11,7
Onion,25,42,10,3
Cucumber,15,88,20,1
Onion,18,53,1,28
Onion,21,63,4,8
Capsicum,7,85,17,1
Capsicum,16,84,9,11
Potato,16,53,7,22
Capsicum,8,84,11,2
Capsicum,12,70,8,12
Cucumber,20,82,3,10
Tomato,19,67,13,1
Cabbage,2,87,18,27
Cauliflower,2,94,8,6
Cabbage,6,92,13,5
Capsicum,19,66,12,7
Cucumber,20,88,1,13
Tomato,18,50,18,1
Brinjal,15,76,5,3
Onion,30,70,13,21
Cabbage,2,89,4,22
Carrot,9,86,20,31
Spinach,2,90,11,2
Cucumber,11,88,6,9
Brinjal,14,63,8,7
Potato,14,58,16,19
Potato,20,42,18,23
Tomato,22,71,18,1
Tomato,29,66,20,1
Potato,14,63,13,43
Cabbage,2,88,17,5
Cabbage,1,86,4,22
Cucumber,13,85,4,10
Tomato,28,65,18,1
Cauliflower,7,87,10,7
Tomato,25,59,18,1
Potato,18,46,14,32
Onion,17,62,9,12
Cucumber,13,85,6,1
Carrot,1,86,7,46
Cucumber,10,82,19,1
Carrot,0,86,15,43
Spinach,0,94,6,1
Cucumber,17,88,4,9
Carrot,2,86,11,11
Cucumber,19,94,8,1
Onion,26,42,9,7
Cabbage,4,85,8,7
Cabbage,6,93,6,24
Brinjal,13,77,2,11
Capsicum,14,71,9,11
Spinach,5,92,12,2
Carrot,0,89,5,51
Potato,14,56,1,41
Potato,15,42,7,37
Onion,16,47,15,21
Cabbage,10,91,17,14
Spinach,0,90,17,1
Cauliflower,8,90,5,12
Brinjal,16,74,17,1
Onion,26,56,13,14
Onion,29,40,9,31
Carrot,0,88,7,50
Brinjal,10,67,1,4
Cauliflower,0,90,13,7
Cauliflower,2,85,3,14
Cauliflower,0,93,9,5
Cucumber,14,83,11,1
Tomato,19,57,18,1
Brinjal,24,78,9,1
Spinach,3,93,1,9
Onion,28,56,17,8
Brinjal,13,66,18,1
Cucumber,17,94,5,1
Spinach,2,97,8,2
Spinach,5,100,5,9
Onion,21,47,16,1
Brinjal,20,65,3,7
Potato,16,40,13,45
Brinjal,17,74,10,1
Spinach,1,96,10,1
Cucumber,13,95,20,1
Carrot,6,87,13,41
Brinjal,11,70,2,7
Spinach,2,90,9,1
Tomato,30,77,16,1
Brinjal,23,60,20,1
Capsicum,14,68,18,1
Cabbage,1,95,19,4
Tomato,27,78,1,2
Cucumber,18,88,5,6
Spinach,4,93,9,1
Carrot,1,95,17,9
Cauliflower,3,88,3,16
Onion,17,50,19,12
Potato,12,64,9,42
Carrot,8,90,19,31
Tomato,20,65,4,1
Spinach,3,100,14,1
Tomato,22,52,12,1
Potato,17,70,19,18
Carrot,4,94,20,4
Capsicum,7,71,10,3
Capsicum,10,78,19,1
Onion,30,48,11,26
Brinjal,10,70,12,1
Cabbage,0,86,17,26
Tomato,23,68,11,1
Cucumber,16,81,11,1
Tomato,20,63,5,5
Capsicum,14,81,2,16
Carrot,9,95,10,24
Brinjal,11,64,11,2
Cabbage,1,86,12,22
Spinach,1,90,16,1
Carrot,0,91,18,23
Cauliflower,6,93,19,5
Onion,30,68,13,1
Brinjal,19,79,20,1
Capsicum,18,77,20,1
Cauliflower,1,85,15,7
Cucumber,16,85,12,1
Cauliflower,10,89,18,1
Spinach,0,96,18,1
Potato,18,65,10,38
Cauliflower,6,90,3,23
Brinjal,20,79,8,6
Cucumber,13,85,19,1
Spinach,4,98,1,10
Tomato,25,68,3,1
Tomato,27,65,9,1
Cabbage,7,86,12,36
Spinach,5,93,4,11
Carrot,6,94,7,51
Cabbage,6,91,10,28
Tomato,21,68,10,1
Cucumber,11,80,17,1
Capsicum,13,68,12,6
Cucumber,16,87,11,2
Cauliflower,7,90,13,1
Capsicum,11,82,8,8
Spinach,0,90,11,1
Cauliflower,10,92,9,16
Carrot,10,92,20,30
Cabbage,1,93,12,25
Carrot,7,89,4,39
Carrot,3,94,10,32
Onion,17,42,10,9
Brinjal,17,73,10,5
Carrot,3,88,3,24
Brinjal,20,61,2,13
Cucumber,18,91,17,1
Onion,18,43,5,14
Cabbage,9,90,17,31
Spinach,1,90,14,1
Spinach,1,96,19,1
Capsicum,14,67,7,9
Capsicum,12,68,18,2
Brinjal,15,73,15,1
Capsicum,15,71,5,4
Cauliflower,1,87,20,9
Onion,28,43,7,3
Carrot,7,95,7,28
Spinach,1,91,16,1
Capsicum,7,68,20,1
Capsicum,7,78,18,1
Cabbage,4,92,18,4
Potato,16,67,14,29
Potato,16,42,5,52
Carrot,1,88,6,41
Capsicum,15,70,18,1
Onion,25,47,12,13
Brinjal,24,76,5,5
Tomato,29,57,19,1
Cauliflower,3,90,7,8
Cucumber,10,93,18,1
Capsicum,20,71,1,11
Cucumber,17,81,6,2
Spinach,2,96,1,12
Cucumber,16,95,13,1
Cauliflower,8,91,20,1
Brinjal,17,71,16,1
Carrot,2,87,4,22
Capsicum,19,82,18,1
Potato,19,67,5,41
Cabbage,3,92,11,37
Potato,12,67,7,11
Onion,28,42,17,12
Cabbage,4,95,7,19
Brinjal,10,63,1,7
Potato,14,62,16,21
Cucumber,14,88,9,1
Spinach,3,96,17,1
Cucumber,15,83,7,2
Spinach,2,95,4,4
Spinach,4,97,2,6
Onion,15,50,20,1
Tomato,19,59,20,1
Potato,17,45,10,44
Carrot,3,87,7,37
Carrot,4,91,7,36
Cucumber,12,88,2,7
Spinach,3,100,13,1
Capsicum,13,65,1,10
Cucumber,11,90,5,5
Spinach,1,94,19,1
Brinjal,14,60,6,4
Cauliflower,1,95,16,7
Cucumber,16,87,15,1
Spinach,3,97,19,1
Cauliflower,3,92,12,1
Potato,16,53,1,28
Carrot,2,88,2,32
Cucumber,11,95,8,4
Brinjal,15,70,17,1
Spinach,2,98,15,1
Spinach,4,100,16,1
Cucumber,13,80,18,1
Tomato,29,53,18,1
Brinjal,20,80,6,1
Cauliflower,6,87,16,13
Cauliflower,9,88,5,23
Cabbage,8,88,3,30
Capsicum,15,78,11,3
Onion,23,43,3,23
Cabbage,5,91,10,36
Carrot,2,95,12,39
Cauliflower,0,90,19,3
Brinjal,19,73,9,6
Capsicum,8,71,20,1
Cucumber,14,81,10,2
Cabbage,1,89,4,31
Cabbage,0,94,9,10
Brinjal,12,77,1,10
Cabbage,1,90,17,1
Brinjal,10,61,6,1
Carrot,6,95,16,33
Tomato,27,53,10,1
Cucumber,14,88,20,1
Capsicum,12,67,16,1
Cauliflower,0,85,17,1
Cucumber,18,86,10,2
Potato,12,48,18,15
Carrot,1,95,9,21
Spinach,0,99,15,1
Spinach,5,99,17,1
Brinjal,17,68,5,9
Onion,19,68,1,26
Tomato,23,72,13,1
Cabbage,2,85,11,22
Brinjal,13,73,14,1
Carrot,5,86,5,28
Potato,19,59,8,11
Spinach,5,93,15,1
Cabbage,5,94,8,40
Carrot,8,92,12,28
Capsicum,12,71,1,10
Carrot,6,88,8,15
Onion,17,54,11,19
Onion,17,55,16,1
Spinach,1,99,6,8
Capsicum,8,78,19,1
Cucumber,14,86,17,1
Tomato,27,63,15,1
Carrot,4,85,14,15
Carrot,8,93,17,35
Cucumber,16,94,1,11
Potato,11,48,8,52
Potato,13,43,2,57
Cauliflower,1,87,11,14
Carrot,10,88,3,29
Carrot,8,94,2,57
Carrot,5,89,2,33
Cucumber,17,83,8,3
Cauliflower,2,92,2,14
Potato,18,40,10,47
Onion,23,66,10,8
Capsicum,16,75,3,5
Brinjal,18,60,5,5
Onion,19,57,19,5
Capsicum,8,81,12,4
Carrot,8,88,20,5
Carrot,0,95,1,45
Cucumber,17,94,8,7
Potato,13,62,11,31
Cucumber,16,80,19,1
Spinach,4,99,8,1
Onion,24,54,7,22
Onion,27,55,2,15
Carrot,0,91,12,38
Cabbage,2,86,4,12
Tomato,17,76,18,1
Spinach,5,93,12,2
Potato,19,54,2,42
Onion,19,60,20,10
Capsicum,18,70,8,1
Tomato,23,52,9,1
Spinach,1,90,16,1
Spinach,2,98,11,1
Onion,15,57,16,13
Tomato,19,74,2,8
Cauliflower,4,91,2,10
Spinach,1,93,3,2
Spinach,2,95,10,1
Onion,22,63,3,16
Carrot,6,95,12,18
Onion,24,54,15,5
Onion,20,70,15,8
Cauliflower,7,89,3,19
Spinach,3,99,1,5
Capsicum,19,75,9,6
Potato,11,43,11,19
Capsicum,7,67,4,15
Capsicum,15,79,7,1
Cucumber,17,91,4,5
Tomato,20,57,6,2
Potato,10,52,2,23
Cabbage,8,91,1,29
Brinjal,24,60,1,14
Cauliflower,1,95,16,9
Brinjal,17,69,6,1
Carrot,6,85,8,25
Carrot,0,94,11,10
Cucumber,18,95,16,1
Cauliflower,10,86,13,9
Onion,18,45,15,1
Cucumber,14,89,20,1
Carrot,3,85,5,21
Potato,14,54,5,47
Brinjal,23,70,17,1
Cucumber,14,92,9,5
Tomato,27,59,15,1
Cucumber,15,93,4,5
Brinjal,12,61,15,1
Spinach,3,97,13,1
Spinach,5,100,1,13
Capsicum,9,65,17,2
Carrot,5,93,3,17
Cauliflower,5,88,5,16
Cauliflower,7,88,13,1
Cucumber,14,85,6,1
Potato,19,60,2,31
Potato,13,67,16,41
Cauliflower,0,91,20,1
Spinach,3,97,6,1
Cucumber,14,84,8,6
Tomato,15,73,14,1
Potato,19,47,13,33
Onion,20,41,8,16
Cauliflower,3,92,9,14
Cucumber,18,95,3,4
Spinach,0,94,17,1
Capsicum,20,84,6,12
Spinach,0,93,20,1
Capsicum,17,84,18,1
Capsicum,11,80,4,6
Spinach,3,100,9,1
Brinjal,17,76,13,1
Carrot,7,92,8,22
Spinach,4,98,2,10
Tomato,27,80,10,1
Spinach,0,93,13,1
Tomato,29,78,2,1
Brinjal,20,75,1,11
Cucumber,15,87,11,1
Potato,17,47,12,16
Cucumber,11,84,13,1
Potato,17,42,2,43
Cabbage,7,89,10,29
Potato,12,68,5,27
Brinjal,23,61,3,4
Onion,21,65,6,29
Cabbage,1,93,10,16
Onion,22,64,12,7
Potato,13,53,1,19
Onion,19,65,12,6
Potato,12,64,20,40
Capsicum,7,75,15,1
Cucumber,19,92,10,1
Carrot,1,91,2,44
Cauliflower,3,93,19,10
Cauliflower,9,86,17,4
Cauliflower,9,89,7,9
Cauliflower,3,91,14,1
Cucumber,13,94,15,1
Brinjal,18,71,14,1
Onion,18,47,20,17
Cauliflower,5,93,12,11
Spinach,5,94,14,1
Capsicum,20,75,17,1
Cabbage,9,93,12,32
Onion,29,45,17,22
Spinach,4,91,7,5
Spinach,4,93,16,1
Cauliflower,1,95,6,20
Tomato,19,74,6,2
Cucumber,17,89,14,1
Cabbage,3,91,12,11
Spinach,5,91,3,10
Spinach,1,93,13,1
Onion,26,40,2,13
Cauliflower,10,93,2,21
Capsicum,20,75,11,4
Cauliflower,6,87,11,17
Spinach,2,98,3,4
Tomato,19,74,5,4
Cabbage,5,86,8,34
Brinjal,19,67,10,1
Spinach,5,99,2,10
Brinjal,20,76,7,1
Capsicum,11,84,9,7
Cauliflower,7,87,11,3
Spinach,0,100,5,1
Capsicum,13,66,9,9
Brinjal,25,74,18,1
Spinach,4,97,17,1
Cauliflower,6,95,11,1
Cauliflower,2,94,18,2
Potato,20,58,17,21
Potato,17,59,17,40
Carrot,0,95,20,14
Brinjal,16,60,9,1
Spinach,4,98,15,1
Cucumber,15,87,7,2
Spinach,4,97,17,1
Cauliflower,7,89,19,9
Cauliflower,4,89,2,28
Onion,28,44,7,15
Capsicum,13,84,16,1
Carrot,4,95,8,40
Brinjal,15,78,7,1
Cabbage,10,89,18,30
